Strategy,t_df (tail fit),VaR 95% (daily),CVaR 95% (daily),VaR 99% (daily),CVaR 99% (daily),VaR 95% (ann),CVaR 95% (ann),VaR 99% (ann),CVaR 99% (ann)
Pre TP,7.064,0.01305,0.018259,0.021244,0.02687,0.20716,0.28985,0.33724,0.42655
Post TP,7.194,0.012555,0.017722,0.02073,0.026315,0.1993,0.28132,0.32907,0.41773
