Date,ACC.NS,ADANIENT.NS,ADANIPORTS.NS,AMBUJACEM.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJAJHLDNG.NS,BANKBARODA.NS,BANKINDIA.NS,BHARATFORG.NS,BHARTIARTL.NS,BHEL.NS,BOSCHLTD.NS,BPCL.NS,CANBK.NS,CIPLA.NS,COALINDIA.NS,COLPAL.NS,CONCOR.NS,DABUR.NS,DIVISLAB.NS,DRREDDY.NS,FEDERALBNK.NS,GAIL.NS,GODREJCP.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,NTPC.NS,ONGC.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,WIPRO.NS
2015-01-01,1244.0281982421875,70.76136779785156,301.77288818359375,195.7729949951172,1082.741455078125,684.9315795898438,532.2208862304688,486.9628601074219,1845.359619140625,127.90367889404297,1179.023193359375,186.38206481933594,260.27789306640625,431.4441833496094,308.07354736328125,163.57102966308594,17477.48828125,56.39250946044922,73.58759307861328,586.8890991210938,152.5390167236328,729.635009765625,381.90582275390625,208.67886352539062,799.1676635742188,597.1715087890625,67.63856506347656,55.601043701171875,294.6888732910156,492.4530944824219,296.3742370605469,217.23533630371094,2197.227294921875,146.67156982421875,633.171875,294.0238952636719,764.6310424804688,367.7708435058594,161.2238311767578,94.50640106201172,124.95896911621094,848.3333740234375,3032.03466796875,79.63380432128906,129.9112091064453,189.99978637695312,279.8804931640625,752.9393920898438,988.8796997070312,91.15481567382812
2015-01-02,1263.837646484375,71.10795593261719,301.5840148925781,198.52369689941406,1084.61669921875,708.6114501953125,534.7706909179688,497.8531188964844,1845.0587158203125,126.81512451171875,1203.5322265625,188.65365600585938,263.185546875,433.85919189453125,309.89874267578125,167.68234252929688,17554.521484375,55.54774856567383,73.48931121826172,588.5234985351562,153.2213134765625,745.0086669921875,381.8215637207031,210.74411010742188,802.5787963867188,599.1990356445312,67.14286804199219,55.85228729248047,295.9702453613281,505.9421691894531,296.0883483886719,220.25868225097656,2192.06201171875,148.19886779785156,631.084716796875,302.36968994140625,768.3035278320312,374.9980163574219,161.72882080078125,94.7945556640625,126.24468231201172,866.226318359375,3049.14306640625,80.72392272949219,131.85580444335938,189.4969482421875,280.9947509765625,756.6482543945312,1002.0487060546875,91.96337890625
2015-01-05,1270.7069091796875,72.28489685058594,305.7864074707031,198.26580810546875,1088.2232666015625,708.5657348632812,534.5109252929688,500.9991455078125,1851.793701171875,125.13006591796875,1221.12841796875,188.60203552246094,262.54412841796875,435.2851867675781,303.0224609375,166.5250701904297,17730.791015625,55.655487060546875,73.77597045898438,591.185302734375,152.6193389892578,738.6450805664062,387.5589599609375,207.8258514404297,797.7482299804688,585.6205444335938,66.60211944580078,56.028160095214844,296.0769348144531,507.845458984375,291.1081237792969,218.3990478515625,2207.133056640625,145.1904754638672,634.71630859375,302.99560546875,771.3167114257812,371.7756042480469,162.3655548095703,94.56848907470703,125.73833465576172,878.2771606445312,3129.1923828125,80.50029754638672,133.3473663330078,187.42127990722656,278.766357421875,757.106201171875,986.8206787109375,92.12838745117188
2015-01-06,1226.30126953125,71.73612976074219,303.9449157714844,190.95921325683594,1055.8150634765625,691.6514892578125,513.6632080078125,483.09075927734375,1837.3443603515625,122.23717498779297,1198.9658203125,182.329345703125,249.37417602539062,410.6298828125,300.6454772949219,158.94189453125,17239.052734375,55.095184326171875,71.73664093017578,573.7671508789062,152.4989013671875,743.4937133789062,379.4590759277344,201.45054626464844,766.5223999023438,570.2099609375,65.65580749511719,54.256866455078125,290.4479675292969,488.4802551269531,283.33355712890625,214.99920654296875,2132.84033203125,141.99693298339844,646.7377319335938,290.1430358886719,751.824462890625,364.00811767578125,158.1938934326172,91.11946105957031,124.2391586303711,848.9825439453125,3081.4990234375,77.81696319580078,125.79544067382812,178.91525268554688,267.3126525878906,740.4392700195312,950.4403076171875,89.97493743896484
2015-01-07,1212.0308837890625,71.10073852539062,303.2367248535156,189.19708251953125,1064.08544921875,705.5485229492188,521.8086547851562,482.7035827636719,1841.6341552734375,122.13282012939453,1197.080322265625,183.5684051513672,246.38101196289062,414.1717834472656,301.3670654296875,154.61740112304688,17210.3046875,55.595157623291016,71.61378479003906,571.5257568359375,150.39173889160156,757.3118896484375,381.2168273925781,204.50350952148438,755.3048706054688,565.3087768554688,65.85858917236328,52.8750114440918,292.9345703125,494.6241760253906,276.60113525390625,215.626708984375,2104.29052734375,137.83140563964844,669.4449462890625,282.2979431152344,745.7506103515625,365.749755859375,155.2517547607422,89.7141342163086,126.2397232055664,846.9505004882812,3120.0712890625,79.68971252441406,127.6456298828125,182.809814453125,267.5354919433594,741.5840454101562,939.21337890625,89.29012298583984
2015-01-08,1233.2591552734375,73.90231323242188,315.93841552734375,194.61253356933594,1083.1744384765625,750.0281982421875,532.0318603515625,485.8981018066406,1844.0421142578125,128.22178649902344,1228.7535400390625,185.44418334960938,253.2225799560547,428.1553649902344,306.5879211425781,156.8709716796875,17625.54296875,58.40959167480469,74.02984619140625,577.3628540039062,152.29820251464844,777.736083984375,379.0794372558594,206.52386474609375,756.8616333007812,570.3494873046875,66.91756439208984,54.112396240234375,302.0871887207031,495.7023620605469,283.0016174316406,220.15599060058594,2111.3310546875,141.21009826660156,682.0925903320312,289.9761047363281,752.1068725585938,367.5938415527344,159.1380157470703,90.6229476928711,133.105224609375,852.3408203125,3154.3330078125,81.03136444091797,129.06163024902344,180.18846130371094,271.7248229980469,749.82568359375,949.3525390625,89.93368530273438
2015-01-09,1239.552001953125,73.16580200195312,312.7275085449219,192.37757873535156,1081.5396728515625,742.8511352539062,552.2659301757812,479.1219177246094,1787.93994140625,127.16802215576172,1197.1644287109375,182.4928436279297,250.95631408691406,427.350341796875,302.04620361328125,155.1655731201172,17474.07421875,58.560455322265625,72.1952896118164,590.578125,150.53219604492188,775.8370971679688,384.1136779785156,206.0299835205078,779.3883056640625,588.4851684570312,67.25552368164062,54.683982849121094,312.27740478515625,492.7498779296875,285.07672119140625,222.6203155517578,2117.168212890625,143.47799682617188,721.7883911132812,285.3024597167969,755.2142944335938,386.4070739746094,156.7228240966797,89.81168365478516,135.1206817626953,846.809326171875,3147.70703125,78.40394592285156,132.53550720214844,184.09375,270.2540588378906,760.1282348632812,975.9630126953125,91.33631896972656
2015-01-12,1244.958740234375,74.30665588378906,310.1777648925781,195.9879150390625,1075.5772705078125,738.5082397460938,556.0669555664062,485.5108337402344,1756.4459228515625,126.0247802734375,1217.0648193359375,185.8572235107422,255.61708068847656,460.58441162109375,296.2311096191406,156.9319305419922,18261.02734375,58.30616760253906,72.88324737548828,589.0838623046875,143.62869262695312,778.5239868164062,380.33087158203125,210.78903198242188,781.2425537109375,596.5670166015625,67.5259017944336,54.04958724975586,323.0470886230469,497.23651123046875,290.6100769042969,220.6580047607422,2078.181884765625,139.8678741455078,748.5028686523438,289.2250061035156,781.06298828125,394.1373291015625,157.13999938964844,88.72555541992188,136.1185302734375,865.9722900390625,3142.897216796875,78.26417541503906,131.2894287109375,181.95387268066406,273.73028564453125,764.9359741210938,974.9529418945312,91.7571029663086
2015-01-13,1277.8421630859375,71.72893524169922,305.03094482421875,197.7930450439453,1106.01416015625,762.3709106445312,543.1994018554688,488.36651611328125,1748.9954833984375,127.88878631591797,1226.65869140625,186.13255310058594,251.85426330566406,453.1325378417969,293.9814758300781,156.84054565429688,18330.47265625,57.7156867980957,72.84230041503906,594.3606567382812,144.97329711914062,783.7158203125,381.779296875,211.6869659423828,789.3009033203125,599.5617065429688,66.84996795654297,53.7857780456543,329.8506164550781,513.2728881835938,292.09490966796875,219.813720703125,2047.0849609375,140.42327880859375,738.4430541992188,284.5096130371094,777.343505859375,389.0986022949219,158.12802124023438,88.08273315429688,138.29779052734375,857.6749267578125,3147.7529296875,77.67720794677734,128.36306762695312,180.4238739013672,271.9476318359375,762.9212646484375,970.3687744140625,92.9864730834961
2015-01-14,1310.326416015625,70.95632934570312,312.82196044921875,200.15692138671875,1116.0635986328125,770.4166870117188,540.4371948242188,483.62322998046875,1778.6080322265625,124.68270874023438,1253.597412109375,185.00535583496094,248.69000244140625,452.2586669921875,293.5570068359375,163.69281005859375,18853.6953125,56.17701721191406,71.84310150146484,589.6909790039062,145.77601623535156,783.3116455078125,384.7042236328125,225.42527770996094,780.7847290039062,596.7529296875,66.75984954833984,53.57849884033203,331.1625671386719,516.232666015625,291.2095947265625,219.93923950195312,2054.054443359375,131.5831756591797,771.4185791015625,281.1712341308594,769.009765625,396.50286865234375,152.72677612304688,85.84841918945312,138.12403869628906,856.828125,3191.090087890625,77.00636291503906,129.9112091064453,178.66917419433594,271.591064453125,751.5199584960938,979.7115478515625,91.0805435180664
