Date,ACC.NS,ADANIPORTS.NS,AMBUJACEM.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BANKBARODA.NS,BHARTIARTL.NS,BHEL.NS,BOSCHLTD.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,PNB.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS,ZEEL.NS
2015-01-04,1263.8377685546875,301.58404541015625,198.523681640625,708.6114501953125,497.8531188964844,1845.058349609375,188.65367126464844,309.8987121582031,167.68234252929688,17554.525390625,55.54774475097656,588.5234985351562,153.22132873535156,599.198974609375,55.85228729248047,505.9422302246094,296.0883483886719,220.25868225097656,2192.063232421875,148.19886779785156,631.0849609375,302.3697204589844,768.3035888671875,374.998046875,161.72882080078125,126.24469757080078,866.2262573242188,1347.9080810546875,553.8285522460938,3049.14306640625,80.7238998413086,131.85581970214844,198.91212463378906,48.320587158203125,189.49696350097656,280.9947509765625,756.648193359375,71.024169921875,29.348155975341797,1002.0488891601562,464.8937072753906,2624.20654296875,70.41724395751953,91.96337127685547,349.15020751953125
2015-01-11,1239.5521240234375,312.7275695800781,192.37757873535156,742.8509521484375,479.12188720703125,1787.940185546875,182.4928436279297,302.04620361328125,155.16554260253906,17474.072265625,58.56045150756836,590.578125,150.53216552734375,588.4850463867188,54.683982849121094,492.74981689453125,285.07672119140625,222.62034606933594,2117.16796875,143.47799682617188,721.7883911132812,285.3024597167969,755.21435546875,386.4070129394531,156.72283935546875,135.12069702148438,846.8093872070312,1336.9915771484375,559.9561767578125,3147.707275390625,78.4039306640625,132.5355224609375,186.96653747558594,48.21609878540039,184.09371948242188,270.25408935546875,760.1282348632812,67.99916076660156,28.555057525634766,975.9629516601562,477.9280090332031,2612.00439453125,65.8241195678711,91.3363265991211,330.6821594238281
2015-01-18,1345.780517578125,312.4442443847656,205.74429321289062,771.1480102539062,498.33709716796875,1821.277587890625,186.0034942626953,291.0527038574219,166.79917907714844,19263.0078125,56.83213806152344,604.5872802734375,152.13768005371094,611.177734375,53.3837776184082,526.3204956054688,302.31353759765625,228.48443603515625,2050.26904296875,128.25082397460938,785.610595703125,295.3175048828125,783.322998046875,394.57501220703125,158.12802124023438,138.53607177734375,898.4560546875,1343.9083251953125,589.9845581054688,3282.39404296875,78.48779296875,131.06289672851562,185.56382751464844,51.31558609008789,186.10525512695312,281.1730041503906,778.1686401367188,70.47029876708984,27.39399528503418,983.6740112304688,502.284912109375,2938.104736328125,61.215171813964844,91.59210205078125,353.6411437988281
2015-01-25,1366.78662109375,327.601318359375,217.04798889160156,788.1993408203125,547.0769653320312,1837.344970703125,191.96641540527344,326.0707092285156,169.99688720703125,19615.806640625,58.16393280029297,632.8858032226562,158.4190673828125,623.0448608398438,53.132530212402344,548.9783935546875,303.724609375,237.94239807128906,2025.5755615234375,134.03619384765625,805.8551635742188,309.3801574707031,807.3355102539062,412.59649658203125,153.45138549804688,137.5382537841797,965.9356689453125,1401.6907958984375,615.8975830078125,3273.40869140625,79.32633972167969,131.7047882080078,187.46426391601562,52.08175277709961,189.7858123779297,291.8690490722656,848.7281494140625,75.7108383178711,28.80156135559082,972.5829467773438,495.8301086425781,3012.558837890625,65.06389617919922,100.15725708007812,358.132080078125
2015-02-01,1383.0953369140625,322.0768127441406,213.8245086669922,784.2223510742188,569.2930297851562,1799.867919921875,166.19590759277344,317.241943359375,177.70187377929688,21403.662109375,64.55140686035156,649.7901000976562,144.8328094482422,601.4031372070312,53.138816833496094,562.1492309570312,330.4882507324219,245.8258056640625,2027.486083984375,129.3153076171875,778.5145874023438,301.0343017578125,819.4359130859375,398.9709167480469,161.83859252929688,131.2734375,959.8675537109375,1491.8931884765625,572.1212158203125,3310.302734375,80.30465698242188,132.66769409179688,171.62728881835938,51.541954040527344,195.8523712158203,275.3793029785156,840.4404907226562,77.11683654785156,27.897720336914062,966.1412353515625,511.4767761230469,3005.333740234375,63.971031188964844,100.94779205322266,345.30078125
2015-02-08,1335.8973388671875,283.4993591308594,213.39468383789062,729.274169921875,545.1409912109375,1673.1387939453125,151.3961639404297,312.61529541015625,160.89102172851562,20698.95703125,63.008426666259766,611.7786254882812,146.0970916748047,566.25732421875,52.69913864135742,550.7080688476562,362.06866455078125,240.3838348388672,1964.3721923828125,136.35040283203125,756.1414794921875,274.87017822265625,795.9884643554688,415.47454833984375,164.01226806640625,125.78302001953125,950.2722778320312,1475.3302001953125,519.9561767578125,3178.9287109375,78.67391967773438,132.5355224609375,154.25189208984375,49.957393646240234,194.70753479003906,258.7558288574219,848.7739868164062,69.95903015136719,26.340105056762695,1002.614013671875,510.0234375,2879.00927734375,66.71109008789062,107.05575561523438,331.3695983886719
2015-02-15,1440.353271484375,316.6938781738281,227.87889099121094,755.879638671875,562.5169067382812,1701.3594970703125,157.41932678222656,301.36700439453125,157.96734619140625,22411.796875,62.486915588378906,623.1727294921875,151.65602111816406,621.9940185546875,50.77709197998047,558.6611938476562,369.15374755859375,243.1904296875,2018.57080078125,142.13577270507812,745.3303833007812,286.97161865234375,824.285400390625,427.6937255859375,166.01025390625,130.01255798339844,938.193115234375,1580.495849609375,539.3117065429688,3282.71142578125,80.50030517578125,128.21209716796875,151.71798706054688,52.760860443115234,196.3338623046875,273.5965881347656,861.3198852539062,71.91891479492188,26.190059661865234,988.2114868164062,514.6951904296875,2978.681396484375,67.21791076660156,109.95995330810547,333.5234069824219
2015-02-22,1436.2318115234375,310.69720458984375,226.15972900390625,754.9195556640625,543.5437622070312,1660.7218017578125,157.72048950195312,296.5706481933594,168.00169372558594,23860.638671875,63.9437141418457,631.2981567382812,153.6227264404297,633.14501953125,51.38008117675781,544.29638671875,370.5985412597656,244.84469604492188,1881.3065185546875,144.9127655029297,751.5499267578125,276.2055358886719,825.65087890625,425.2722473144531,173.91445922851562,128.89556884765625,946.9137573242188,1591.6947021484375,566.197021484375,3219.54296875,81.84899139404297,124.8703384399414,151.31076049804688,53.37029266357422,186.83277893066406,269.4518737792969,836.273681640625,73.23968505859375,26.77237892150879,1041.461181640625,501.08135986328125,2884.511962890625,68.83341217041016,108.17916107177734,328.8490905761719
2015-03-01,1483.252197265625,326.9875183105469,231.61814880371094,737.9596557617188,549.0130004882812,1618.3536376953125,155.741455078125,301.536865234375,165.34661865234375,23887.72265625,64.15487670898438,625.6009521484375,158.63978576660156,609.736083984375,51.091148376464844,542.060302734375,374.5346984863281,240.4979248046875,1890.9998779296875,143.6168212890625,740.6138305664062,279.7942199707031,814.0684204101562,422.0404357910156,172.88253784179688,132.81729125976562,992.83154296875,1635.125244140625,579.0856323242188,3271.3212890625,89.04206085205078,122.62366485595703,150.36053466796875,54.71110916137695,183.07730102539062,267.3126525878906,804.8630981445312,74.39006042480469,25.054004669189453,1036.322998046875,505.6370544433594,2991.409912109375,68.8017349243164,108.89482879638672,319.8214111328125
2015-03-08,1505.5882568359375,314.5218505859375,234.9705810546875,762.416748046875,597.0752563476562,1594.384521484375,158.36581420898438,295.3397216796875,165.0109100341797,23993.2890625,66.92192077636719,690.6500244140625,154.16094970703125,640.1387329101562,50.61376953125,547.77001953125,382.49951171875,247.59417724609375,1846.3177490234375,137.09088134765625,784.4837646484375,290.2265319824219,859.9274291992188,418.6596984863281,152.04615783691406,140.21395874023438,1030.705810546875,1729.844970703125,555.6373901367188,3338.800537109375,88.87344360351562,120.81118774414062,147.7813720703125,54.03199005126953,189.36851501464844,261.87548828125,951.2476806640625,72.68582153320312,24.525272369384766,1049.5963134765625,513.197265625,3052.41845703125,66.56853485107422,111.14160919189453,313.4515075683594
